,Main_Pollutant,Date,AQI_VALUE,Year,Month,Day,Hour,PM2.5,PM10,SO2,CO,Ozone,NO,NO2,NOx,maxtempC,mintempC,sunHour,uvIndex,uvIndex.1,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,PM10_AVG24H,PM2.5_AVG24H,SO2_AVG24H,CO_AVG8H,Ozone_AVG8H,NOx_AVG24H,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,CO_SubIndex,Ozone_SubIndex,NOx_SubIndex,Checks
0,PM2.5,2015-04-05,193.12,2015.0,4.0,5.0,11.5,116.36,236.9,25.85,1.59,46.92,99.12,124.4,149.31,30.0,18.0,11.6,6.0,4.17,12.17,26.54,27.21,26.96,8.25,4.17,41.33,0.0,1006.92,24.29,10.0,165.38,6.17,205.26,86.33,24.01,1.22,71.3,112.52,169.79,186.29,29.58,51.12,76.04,131.88,6.0
1,PM10,2015-04-06,220.75,2015.0,4.0,6.0,11.5,95.12,181.09,9.73,2.28,70.68,19.51,77.69,99.52,31.0,21.0,11.6,7.0,4.42,10.38,28.17,28.25,29.04,10.79,2.88,32.5,0.0,1007.33,26.0,10.0,293.29,8.79,230.56,81.98,12.0,1.95,71.67,66.79,205.79,171.92,14.46,64.38,76.04,82.54,6.0
2,NOx,2015-04-07,139.67,2015.0,4.0,7.0,5.5,90.28,235.54,5.52,1.33,19.88,2.4,26.21,77.97,31.0,21.0,11.6,7.0,3.92,11.67,28.0,28.17,28.67,8.0,3.0,36.33,0.0,1009.08,24.67,10.0,277.25,7.0,110.21,55.95,5.24,1.5,18.99,118.6,105.75,95.75,6.17,28.5,18.5,138.08,6.0
3,NOx,2015-04-08,173.83,2015.0,4.0,8.0,11.5,43.94,103.92,7.02,1.12,34.27,6.29,48.43,151.68,31.0,20.0,11.6,7.0,4.33,10.04,27.33,27.54,28.04,12.42,4.12,33.42,0.0,1011.17,25.79,10.0,262.5,10.17,89.8,38.27,7.28,1.11,32.96,154.45,89.25,63.17,8.54,46.12,32.46,173.83,6.0
4,PM10,2015-04-09,176.46,2015.0,4.0,9.0,11.5,85.01,240.84,10.32,1.38,55.46,75.1,59.53,136.34,32.0,21.0,11.6,7.0,4.5,11.79,30.21,30.25,30.88,13.67,0.5,32.92,0.0,1009.38,26.79,10.0,301.83,11.38,215.39,70.88,8.65,1.05,49.77,92.44,176.46,136.0,10.38,42.08,49.25,111.42,6.0
5,PM2.5,2015-04-10,196.75,2015.0,4.0,10.0,11.5,121.71,273.53,13.86,3.4,52.76,83.41,122.03,140.2,34.0,21.0,11.6,7.0,4.58,6.58,28.75,28.75,30.08,14.25,6.58,24.46,0.0,1007.88,27.88,10.0,289.58,10.79,197.87,87.59,11.35,2.6,61.11,124.69,169.58,190.58,13.62,86.54,62.79,144.17,6.0
6,PM2.5,2015-04-11,355.12,2015.0,4.0,11.0,11.5,252.82,448.37,51.16,5.47,26.7,184.96,80.33,91.17,35.0,22.0,11.6,7.0,4.83,6.83,32.12,32.12,33.58,7.04,13.83,19.88,0.0,1007.29,29.71,10.0,105.88,4.75,336.07,190.37,43.52,4.7,38.19,117.92,319.04,336.08,53.79,125.25,37.79,137.46,5.96
7,PM10,2015-04-12,424.91,2015.0,4.0,12.0,11.41,338.86,398.32,39.74,3.65,19.21,52.92,68.09,102.34,32.0,24.0,12.5,7.0,4.18,8.59,27.64,27.64,28.64,12.18,24.95,29.95,0.0,1010.91,27.27,10.0,62.95,9.91,443.19,270.22,26.66,2.84,29.12,177.32,419.14,181.59,32.82,77.82,28.68,196.73,5.91
8,PM2.5,2015-04-13,144.0,2015.0,4.0,13.0,11.5,62.57,119.6,15.53,1.32,44.01,6.82,50.97,56.3,37.0,23.0,11.9,7.0,4.79,6.17,32.17,32.17,33.04,13.21,42.54,21.71,0.0,1005.96,30.21,10.0,217.75,9.46,132.17,72.91,22.73,0.82,42.41,56.56,116.08,135.0,26.75,30.25,41.92,67.04,5.83
9,PM10,2015-04-14,114.33,2015.0,4.0,14.0,11.5,65.47,132.15,16.03,2.3,51.8,7.14,49.78,56.08,38.0,23.0,11.9,7.0,4.79,5.75,33.21,33.21,33.67,11.08,33.12,20.5,0.0,1005.88,30.75,10.0,184.21,7.71,117.95,61.54,15.98,2.06,49.97,54.05,111.67,103.29,19.5,66.62,49.96,66.88,6.0
